#,TITLE,ARTIST,RELEASE,BPM,ENERGY,DANCE,LOUD,VALENCE,LENGTH,ACOUSTIC,POP.,RND,Label
579,Lights on the Hill,Cult Of Luna,9/20/2019,118,57,21,-9,5,15:08,0,41,7096,0
580,We Feel the End,Cult Of Luna,9/20/2019,110,37,27,-15,12,7:06,2,39,7366,0
581,Inland Rain,Cult Of Luna,9/20/2019,116,74,32,-8,20,7:00,0,39,4485,0
582,The Fall,Cult Of Luna,9/20/2019,124,73,31,-8,22,13:13,0,39,3281,0
583,Riot Auffer Buehne 2.0,Stillbirth,8/31/2019,110,97,57,-4,26,3:19,0,33,2457,0
584,Open Up This Fkn Pit 2.0,Stillbirth,8/31/2019,99,97,27,-4,21,3:28,0,37,549,0
585,On the Edge of Society 2.0,Stillbirth,8/31/2019,108,90,48,-4,42,4:18,0,15,8902,0
586,Brootal Party 2.0,Stillbirth,8/31/2019,180,96,19,-4,25,3:16,0,31,9652,0
587,Who I Am,Wage War,8/30/2019,107,97,50,-3,21,3:42,0,60,8196,0
588,Prison,Wage War,8/30/2019,114,99,55,-2,46,2:49,0,57,6438,0
589,Grave,Wage War,8/30/2019,138,98,49,-4,37,3:15,1,54,9629,0
590,Ghost,Wage War,8/30/2019,117,98,49,-3,21,3:22,0,50,829,0
591,Hurt,Wage War,8/30/2019,125,92,50,-3,59,3:15,1,52,7657,0
592,Low,Wage War,8/30/2019,130,97,50,-3,50,3:47,0,64,7021,0
593,The Line,Wage War,8/30/2019,118,97,56,-3,63,3:14,0,49,3613,0
594,Fury,Wage War,8/30/2019,130,100,50,-3,27,3:20,0,50,6684,0
595,Forget My Name,Wage War,8/30/2019,93,94,52,-5,51,3:22,1,48,6651,0
596,Take The Fight,Wage War,8/30/2019,77,99,47,-2,42,3:39,0,48,4123,0
597,Will We Ever Learn,Wage War,8/30/2019,125,79,50,-4,21,4:00,0,48,781,0
598,Tum Se Hi,Mohit Chauhan,9/21/2007,130,54,61,-8,61,5:21,33,61,3591,0
599,Iktara,Amit Trivedi,12/23/2010,80,53,61,-7,38,4:15,41,59,6385,0
600,"Kabira (Encore) [From ""Yeh Jawaani Hai Deewani""]",Harshdeep Kaur,4/15/2019,172,61,61,-8,90,4:30,44,53,3566,0
601,Aas Paas Khuda (Unplugged),Rahat Fateh Ali Khan,8/19/2010,79,31,45,-8,54,3:24,88,56,4610,0
602,"Bolna (From ""Kapoor & Sons (Since 1921)"")",Tanishk Bagchi,3/4/2016,131,40,49,-7,50,3:33,60,60,7090,0
603,"Nai Lagda (From ""Notebook"")",Vishal Mishra,2/28/2019,154,55,51,-7,38,4:47,67,57,1436,0
604,Sau Aasmaan,Armaan Malik,8/4/2016,128,73,63,-5,44,3:55,12,61,5998,0
605,Kalank (Title Track),Arijit Singh,4/14/2019,118,55,57,-8,44,5:11,52,68,3213,0
606,Khoj (Passing By),When Chai Met Toast,9/7/2018,105,64,58,-7,38,3:33,19,55,2356,0
607,"Darkhaast (feat. Arijit Singh, Sunidhi Chauhan)",Mithoon,10/7/2016,112,56,52,-8,20,6:14,81,58,3249,0
608,Agar Tum Saath Ho-Maahi Ve,Jubin Nautiyal,11/18/2017,125,33,62,-9,53,4:33,50,55,6166,0
609,Dil Hi Toh Hai,Pritam,10/4/2019,90,69,48,-5,57,4:40,45,56,9981,0
610,Moh Moh Ke Dhaage (Female),Monali Thakur,2/9/2015,128,40,59,-8,35,5:23,85,46,7146,0
611,Jahaan Tu Chala,Jasleen Royal,1/24/2019,112,19,46,-16,38,2:20,88,52,9195,0
612,Naina Da Kya Kasoor,Amit Trivedi,10/3/2018,126,66,85,-6,55,3:31,16,63,1190,0
613,Daryaa,Ammy Virk,9/13/2018,92,53,56,-5,23,4:22,15,44,6754,0
614,Qaafirana,Arijit Singh,11/27/2018,170,43,42,-9,21,5:42,7,64,6559,0
615,"Dooriyan (From ""Love Aaj Kal"")",Mohit Chauhan,6/27/2009,123,72,52,-7,59,5:37,61,48,6314,0
616,"Mere Sohneya (From ""Kabir Singh"")",Sachet Tandon,6/6/2019,136,64,38,-6,65,3:13,56,64,1079,0
617,Sawarne Lage,Tanishk Bagchi,8/23/2018,100,68,78,-6,31,2:47,9,63,3306,0
618,"Tera Ban Jaunga (From ""Kabir Singh"")",Akhil Sachdeva,9/3/2019,94,53,61,-6,40,3:56,82,59,8231,0
619,Paniyon Sa,Atif Aslam,7/12/2018,75,77,52,-5,67,3:56,45,62,1231,0
620,"Photo (From ""Luka Chuppi"")",Karan Sehmbi,2/12/2019,95,64,74,-6,32,2:57,10,66,7025,0
621,Tujhe Bhula Diya,Mohit Chauhan,8/19/2010,132,42,64,-9,51,4:39,46,58,6334,0
622,"Tera Yaar Hoon Main (From ""Sonu Ke Titu Ki Sweety"")",Arijit Singh,4/24/2019,84,54,56,-6,31,4:25,34,62,4413,0
623,Hawayein,Pritam,8/3/2017,126,60,61,-6,45,4:50,80,61,5073,0
624,"Akhar (From ""Lahoriye"" Soundtrack)",Amrinder Gill,3/21/2017,97,61,73,-6,56,3:40,56,47,4029,0
625,"Dil Dooba (From ""Khakee"")",Sonu Nigam,6/18/2019,100,91,81,-7,96,3:51,32,49,6084,0
626,Barso,Ritviz,11/16/2018,140,83,54,-7,4,4:17,3,56,5167,0
627,Ve Maahi,Arijit Singh,5/9/2019,103,55,65,-7,29,3:44,41,61,728,0
628,"Agar Tum Saath Ho (From ""Tamasha"")",Alka Yagnik,4/15/2019,123,52,56,-9,42,5:41,56,58,2189,0
629,Aakasam Lona,Nutana Mohan,6/24/2019,115,30,68,-10,22,3:50,92,31,9536,0
630,"Chogada (From ""Loveyatri"")",Darshan Raval,8/14/2018,63,97,36,-3,60,4:10,14,62,8053,0
631,Wohi Khuda,Atif Aslam,10/11/2019,79,25,23,-13,7,6:50,77,48,1289,0
632,"Kaise Hua (From ""Kabir Singh"")",Vishal Mishra,6/13/2019,138,46,39,-7,15,3:55,45,62,5114,0
633,Leja Re,Dhvani Bhanushali,11/24/2018,100,76,79,-4,45,3:26,56,65,8569,0
634,Intezaar,Mithoon,11/7/2019,119,47,46,-8,14,4:28,64,63,1944,0
635,Tere Siva,Darshan Raval,10/14/2016,120,67,67,-6,22,3:58,50,23,1334,0
636,Laal Ishq,Arijit Singh,11/3/2015,106,67,50,-6,45,6:27,3,46,3235,0
637,Baarishein,Anuv Jain,1/12/2018,94,12,48,-9,19,3:27,93,55,6781,0
638,Teenage Sound,Ritviz,2/20/2013,120,27,84,-12,24,2:52,50,42,5414,0
639,Kaathalae Kaathalae - Version 1,Govind Vasantha,8/17/2018,95,30,20,-12,6,3:13,91,53,1148,0
640,Avunanna,Naresh Iyer,11/22/2009,80,61,65,-12,62,5:12,63,36,9701,0
641,"Don't Strike a Match, Use the Lighter",Blood Command,4/12/2019,93,92,45,-6,9,1:58,0,33,7626,0
642,S01E02.Return.Of.The.Arsonist.720p.HDTV.x264,Blood Command,4/12/2019,92,92,48,-5,35,3:02,0,39,1403,0
643,"No Thank You, I'm More in to Fake Grindcore",Blood Command,4/12/2019,75,89,13,-5,8,2:08,0,39,3197,0
644,Ritual Knife,Blood Command,4/12/2019,110,83,47,-5,21,0:54,0,28,7626,0
645,Afraid of Water,Blood Command,4/12/2019,82,86,49,-5,38,3:06,0,36,2253,0
646,¡Ponte Punk!,Los Blenders,3/22/2019,188,78,36,-12,32,2:35,1,39,378,0
647,Trash Bat,AFI,12/7/2018,102,97,63,-2,76,2:08,0,42,2995,0
648,Break Angels,AFI,12/7/2018,130,94,55,-2,53,3:27,0,36,1400,0
649,Back Into The Sun,AFI,12/7/2018,182,93,37,-2,62,3:01,0,33,7823,0
650,Get Dark,AFI,12/7/2018,102,92,55,-2,69,2:41,0,39,7551,0
651,The Missing Man,AFI,12/7/2018,144,81,57,-4,55,4:15,3,35,3346,0
652,Remedy - Interlude,BillyBio,11/30/2018,95,24,39,-16,36,0:33,71,15,3009,0
653,Stfu,BillyBio,11/30/2018,94,97,51,-4,36,2:10,0,16,630,0
654,Trepidation - Interlude,BillyBio,11/30/2018,160,50,31,-14,8,2:12,55,14,2525,0
655,Untruth,BillyBio,11/30/2018,168,95,45,-4,70,3:50,0,16,9295,0
656,Enemy,BillyBio,11/30/2018,110,95,35,-6,31,2:50,0,15,1574,0
657,Disaffected World,BillyBio,11/30/2018,115,90,25,-7,15,5:33,0,14,6401,0
658,Inner Vision,Sick Of It All,11/2/2018,144,99,25,-4,64,1:54,0,33,5364,0
659,That Crazy White Boy Shit,Sick Of It All,11/2/2018,135,100,30,-3,25,2:05,0,35,7782,0
660,The Snake (Break Free),Sick Of It All,11/2/2018,96,99,46,-3,73,1:58,0,37,1054,0
661,Work the System,Sick Of It All,11/2/2018,95,99,50,-3,41,1:46,0,21,1781,0
662,The New Slavery,Sick Of It All,11/2/2018,105,99,33,-3,24,2:39,0,21,9907,0
663,Tell Me More,WSTR,8/31/2018,110,99,51,-5,21,3:01,0,43,369,0
664,Crisis,WSTR,8/31/2018,143,93,48,-5,54,3:17,0,47,7946,0
665,Bad To The Bone,WSTR,8/31/2018,180,90,40,-5,56,3:21,0,40,9508,0
666,Promiscuous,WSTR,8/31/2018,108,92,54,-5,53,2:51,2,38,5694,0
667,The Latest,WSTR,8/31/2018,105,91,55,-5,52,3:39,2,37,2910,0
668,Silly Me,WSTR,8/31/2018,135,88,51,-6,47,3:33,0,40,7546,0
669,Fling,WSTR,8/31/2018,115,90,56,-5,51,3:06,1,36,8980,0
670,Hide Everything Sharp,WSTR,8/31/2018,135,94,54,-5,53,2:56,0,38,3117,0
671,See You In Hell,WSTR,8/31/2018,132,55,55,-8,31,3:36,7,42,6166,0
672,Ashtray,WSTR,8/31/2018,135,92,52,-5,58,3:08,0,35,7317,0
673,Riddle Me This,WSTR,8/31/2018,180,98,36,-5,40,2:50,2,38,5257,0
674,Smile Now Pay Later,Madball,6/15/2018,103,100,48,-4,24,3:32,0,38,4898,0
675,Damaged Goods,Madball,6/15/2018,94,100,49,-4,25,2:19,0,24,2814,0
676,The Fog (feat. Tim Armstrong),Madball,6/15/2018,85,97,37,-5,34,3:11,0,29,4740,0
677,Es Tu Vida,Madball,6/15/2018,127,100,57,-4,50,2:27,0,24,1394,0
678,For You,Madball,6/15/2018,80,89,52,-5,51,3:18,0,23,3096,0
679,For the Cause,Madball,6/15/2018,100,97,33,-6,14,4:04,0,23,2595,0
680,Hurrah,Iceage,5/4/2018,157,96,14,-5,9,4:15,0,37,4545,0
681,Pain Killer,Iceage,5/4/2018,146,92,13,-3,28,3:39,0,43,6916,0
682,Under the sun,Iceage,5/4/2018,80,83,14,-4,49,4:31,2,31,3513,0
683,The day the music dies,Iceage,5/4/2018,107,92,32,-4,34,3:48,1,30,5160,0
684,Plead the fifth,Iceage,5/4/2018,63,81,25,-6,33,3:11,3,29,9854,0
685,Catch it,Iceage,5/4/2018,143,89,19,-4,65,5:46,0,37,4951,0
686,Thieves like us,Iceage,5/4/2018,125,89,36,-5,29,3:50,28,30,5923,0
687,Take it all,Iceage,5/4/2018,112,71,40,-6,35,3:50,0,29,3656,0
688,Showtime,Iceage,5/4/2018,150,70,25,-5,36,4:06,4,27,2777,0
689,Beyondless,Iceage,5/4/2018,100,94,26,-4,24,4:02,0,29,3257,0
690,Amnesia,Say Ocean,8/18/2017,98,92,56,-3,52,4:01,0,41,8118,0
691,De Sueno en el Trabajo al Trabajo de Tus Suenos,Say Ocean,8/18/2017,126,98,48,-3,78,3:22,0,32,5493,0
692,Hostil,Say Ocean,8/18/2017,90,92,27,-3,22,4:26,0,32,2734,0
693,Siempre Mal,Say Ocean,8/18/2017,102,88,59,-3,57,3:36,0,28,8621,0
694,Your Jokes Aren't Funny,New Found Glory,4/28/2017,160,96,43,-4,50,3:08,0,40,6471,0
695,Barbed Wire,New Found Glory,4/28/2017,114,94,51,-4,52,3:48,0,30,1618,0
696,Short and Sweet,New Found Glory,4/28/2017,170,92,19,-3,53,3:29,0,32,5912,0
697,The Cheapest Thrill,New Found Glory,4/28/2017,94,90,55,-4,61,3:44,0,28,4202,0
698,Forgive and Forget,A Day To Remember,9/2/2016,115,65,25,-8,9,4:43,18,49,9380,0
699,Negative Space,A Day To Remember,9/2/2016,135,94,48,-4,17,3:37,0,46,8281,0
700,In Florida,A Day To Remember,9/2/2016,161,93,49,-4,64,3:22,0,47,4748,0
701,A Place We Set Afire,Yellowcard,9/30/2016,166,95,40,-4,38,4:20,0,37,9009,0
702,Leave A Light On,Yellowcard,9/30/2016,131,31,51,-9,12,4:48,89,35,5737,0
703,The Hurt Is Gone,Yellowcard,9/30/2016,146,79,56,-6,4,6:25,0,36,1081,0
704,Empty Street,Yellowcard,9/30/2016,172,83,40,-6,23,4:47,0,31,8126,0
705,I'm A Wrecking Ball,Yellowcard,9/30/2016,114,30,67,-12,35,3:57,76,29,3609,0
706,Savior's Robes,Yellowcard,9/30/2016,89,94,23,-5,21,5:12,0,31,7588,0
707,Fields & Fences,Yellowcard,9/30/2016,107,46,25,-9,12,6:59,6,37,2014,0
708,333,Against Me!,7/18/2016,140,89,60,-4,69,3:18,0,17,9154,0
709,Six Years on Dope,NOFX,7/22/2016,185,95,43,-5,65,1:32,0,0,1406,0
710,Dive In,Pierce The Veil,5/13/2016,161,96,35,-4,39,4:52,0,54,8889,0
711,Texas Is Forever,Pierce The Veil,5/13/2016,114,99,56,-3,33,3:39,0,51,9934,0
712,Gold Medal Ribbon,Pierce The Veil,5/13/2016,101,93,53,-3,42,3:58,0,47,4248,0
713,Bedless,Pierce The Veil,5/13/2016,132,92,56,-4,20,4:45,0,50,1041,0
714,Sambuka,Pierce The Veil,5/13/2016,173,97,33,-4,20,2:36,0,45,7200,0
715,Song For Isabelle,Pierce The Veil,5/13/2016,131,95,31,-4,35,4:51,0,47,6827,0
716,Opinion Overload,Simple Plan,2/5/2016,196,96,43,-4,38,3:19,0,27,7972,0
717,As Wicked,Rancid,8/15/1995,164,99,42,-3,44,2:41,2,26,8371,0
718,Avenues & Alleyways,Rancid,8/15/1995,164,99,35,-4,15,3:12,1,27,2409,0
719,The Way I Feel,Rancid,8/15/1995,140,98,42,-3,42,2:35,1,25,3827,0
720,Blast 'Em,Rancid,8/15/1995,170,98,47,-4,64,2:30,2,24,1366,0
721,That's Entertainment,Rancid,8/15/1995,140,97,54,-3,86,1:31,1,24,9883,0
722,Brothers &,The Wonder Years,9/4/2015,168,60,10,-9,26,1:31,56,36,4569,0
723,Cardinals,The Wonder Years,9/4/2015,176,95,25,-3,26,3:15,1,47,882,0
724,A Song For Patsy Cline,The Wonder Years,9/4/2015,139,71,50,-5,55,3:52,0,39,6755,0
725,I Don't Like Who I Was Then,The Wonder Years,9/4/2015,132,96,44,-3,36,3:38,0,53,8252,0
726,Cigarettes & Saints,The Wonder Years,9/4/2015,97,71,47,-5,41,5:03,1,49,8544,0
727,The Bluest Things on Earth,The Wonder Years,9/4/2015,170,97,25,-4,25,3:11,0,38,7842,0
728,A Song for Ernest Hemingway,The Wonder Years,9/4/2015,130,95,43,-4,36,2:51,2,37,7591,0
729,Thanks for the Ride,The Wonder Years,9/4/2015,141,96,46,-4,44,3:32,0,38,4724,0
730,Stained Glass Ceilings,The Wonder Years,9/4/2015,123,67,47,-6,34,4:45,0,41,3019,0
731,I Wanted So Badly to be Brave,The Wonder Years,9/4/2015,97,96,45,-3,28,3:47,0,37,7169,0
732,You in January,The Wonder Years,9/4/2015,96,70,51,-5,23,3:14,4,42,6800,0
733,Palm Reader,The Wonder Years,9/4/2015,157,93,25,-3,25,4:15,0,36,8152,0
734,No Closer To Heaven,The Wonder Years,9/4/2015,85,32,62,-13,53,2:22,69,38,7344,0
735,The Great Die-Off,Rise Against,1/1/2014,144,97,38,-4,49,3:40,0,50,2563,0
736,I Don’t Want To Be Here Anymore,Rise Against,1/1/2014,159,97,24,-4,40,4:00,0,62,7776,0
737,People Live Here,Rise Against,1/1/2014,165,46,47,-6,32,4:09,37,54,1466,0
738,Dirty Sheets,The Orwells,5/27/2014,167,82,21,-4,61,2:30,0,30,6910,0
739,Bathroom Tile Blues,The Orwells,5/27/2014,115,75,54,-4,68,3:11,0,27,3183,0
740,Gotta Get Down,The Orwells,5/27/2014,175,83,26,-5,38,3:01,7,28,7315,0
741,Let It Burn,The Orwells,5/27/2014,169,98,30,-4,31,3:30,0,30,117,0
742,Who Needs You,The Orwells,5/27/2014,208,88,30,-5,56,3:19,0,48,4141,0
743,Norman,The Orwells,5/27/2014,133,76,37,-5,43,4:24,14,24,2853,0
744,Always N Forever,The Orwells,5/27/2014,143,90,45,-4,39,2:42,14,28,3120,0
745,Blood Bubbles,The Orwells,5/27/2014,219,83,17,-3,46,3:11,21,31,6499,0
746,North Ave.,The Orwells,5/27/2014,154,83,31,-3,58,3:15,25,27,7997,0
747,99 Revolutions - Demo,Green Day,4/19/2014,172,95,25,-4,39,4:06,0,41,1978,0
748,Angel Blue - Demo,Green Day,4/19/2014,91,92,34,-5,49,2:55,0,39,2613,0
749,Carpe Diem - Demo,Green Day,4/19/2014,135,94,39,-5,55,3:39,0,39,6427,0
750,State of Shock - Demo,Green Day,4/19/2014,87,94,45,-5,65,2:28,12,38,2289,0
751,Let Yourself Go - Demo,Green Day,4/19/2014,101,98,45,-5,64,3:00,16,39,9436,0
752,"Sex, Drugs & Violence - Demo",Green Day,4/19/2014,178,98,26,-5,57,3:25,0,38,5555,0
753,Ashley - Demo,Green Day,4/19/2014,94,95,37,-5,59,2:47,8,37,8685,0
754,Fell for You - Demo,Green Day,4/19/2014,144,85,43,-6,75,3:12,7,37,1723,0
755,Stay the Night - Demo,Green Day,4/19/2014,83,92,16,-6,51,4:40,7,38,1470,0
756,Stray Heart - Demo,Green Day,4/19/2014,104,88,53,-7,55,3:50,12,40,1731,0
757,Makeout Party - Demo,Green Day,4/19/2014,98,94,34,-5,47,3:12,3,35,7879,0
758,Oh Love - Demo,Green Day,4/19/2014,84,70,36,-6,44,5:13,29,38,5822,0
759,Stay the Night - Acoustic,Green Day,4/19/2014,149,7,60,-20,43,3:09,98,38,4639,0
760,Heart Of Glass - Rerecorded 2014 Version,Blondie,5/12/2013,114,79,62,-8,73,4:34,3,37,97,0
761,The Tide Is High - Rerecorded 2014 Version,Blondie,5/12/2013,97,68,66,-7,97,4:38,5,32,5262,0
762,Maria,Blondie,5/12/2013,160,81,55,-6,79,4:06,3,65,256,0
763,Sunday Girl - Rerecorded 2014 Version,Blondie,5/12/2013,146,71,54,-7,86,3:03,10,35,9372,0
764,Rapture - Rerecorded 2014 Version,Blondie,5/12/2013,107,86,69,-5,91,5:34,33,34,8469,0
765,One Way Or Another - Rerecorded 2014 Version,Blondie,5/12/2013,162,93,40,-5,78,3:32,2,40,6075,0
766,Atomic - Rerecorded 2014 Version,Blondie,5/12/2013,135,84,59,-6,75,4:36,1,34,220,0
767,Rip Her To Shreds - Rerecorded 2014 Version,Blondie,5/12/2013,123,77,57,-6,83,3:19,3,25,5293,0
768,Sugar On The Side,Blondie,5/12/2013,100,88,64,-5,63,3:47,1,33,755,0
769,A Rose By Any Name,Blondie,5/12/2013,100,85,57,-5,80,3:34,6,27,9711,0
770,I Screwed Up,Blondie,5/12/2013,100,90,66,-6,82,3:59,12,21,9193,0
771,Relax,Blondie,5/12/2013,116,66,33,-7,21,5:49,27,27,7157,0
772,Mile High,Blondie,5/12/2013,129,76,68,-5,70,3:39,16,21,3909,0
773,Euphoria,Blondie,5/12/2013,95,75,83,-6,91,4:40,6,20,3514,0
774,Take It Back,Blondie,5/12/2013,140,94,61,-6,96,3:45,0,20,7886,0
775,Backroom,Blondie,5/12/2013,90,79,69,-6,54,4:05,0,19,5324,0
776,Put Some Color On You,Blondie,5/12/2013,119,52,76,-6,43,3:53,5,20,6591,0
777,Can't Stop Wanting,Blondie,5/12/2013,130,93,64,-5,84,3:11,1,19,6676,0
778,Prism,Blondie,5/12/2013,180,64,56,-7,62,5:07,18,21,1914,0
779,Erreur Humaine,PAWS,5/6/2014,120,56,38,-7,20,3:19,7,0,1844,0
780,Tongues,PAWS,5/6/2014,129,97,42,-5,46,2:13,0,0,7940,0
781,Someone New,PAWS,5/6/2014,109,95,23,-5,54,2:24,0,0,5040,0
782,Alone,PAWS,5/6/2014,126,45,32,-7,24,3:56,46,0,3680,0
783,Let's All Let Go,PAWS,5/6/2014,173,96,12,-4,53,2:43,0,0,9515,0
784,Great Bear,PAWS,5/6/2014,136,98,44,-5,76,1:58,0,0,9512,0
785,YCF,PAWS,5/6/2014,124,37,49,-12,35,2:52,99,0,963,0
786,War Cry,PAWS,5/6/2014,130,84,28,-5,28,11:43,0,0,3824,0
787,Intro/Void,Black Monolith,4/29/2014,153,67,17,-6,4,7:11,0,6,5268,0
788,Dead Hand,Black Monolith,4/29/2014,145,92,29,-4,13,4:26,0,4,6399,0
789,Adhere,Black Monolith,4/29/2014,152,71,27,-5,5,8:19,0,4,6786,0
790,Victims & Hangmen,Black Monolith,4/29/2014,145,93,32,-4,20,3:14,0,2,6501,0
791,Gold Watch,Black Monolith,4/29/2014,155,73,19,-7,4,9:20,0,3,8158,0
792,Eris,Black Monolith,4/29/2014,134,48,23,-5,6,7:27,12,2,5557,0
793,I Don't Wanna Be An Asshole Anymore,The Menzingers,4/18/2014,160,81,41,-5,85,3:05,0,0,9776,0
794,Bad Things,The Menzingers,4/18/2014,124,90,50,-5,50,3:20,0,0,4354,0
795,Nothing Feels Good Anymore,The Menzingers,4/18/2014,134,73,40,-5,31,3:59,3,0,5562,0
796,Hearts Unknown,The Menzingers,4/18/2014,91,81,31,-6,50,3:04,1,0,5221,0
797,In Remission,The Menzingers,4/18/2014,117,84,49,-5,66,3:43,0,0,3338,0
798,Sentimental Physics,The Menzingers,4/18/2014,152,94,40,-4,56,2:48,0,0,7783,0
799,When You Died,The Menzingers,4/18/2014,136,34,56,-6,38,4:03,43,0,6184,0
800,Void You Out,OFF!,4/7/2014,107,98,29,-5,42,1:10,1,26,9778,0
801,Red White and Black,OFF!,4/7/2014,111,98,29,-5,21,1:38,14,25,4464,0
802,Legion of Evil,OFF!,4/7/2014,184,96,16,-5,44,1:21,1,32,7499,0
803,No Easy Escape,OFF!,4/7/2014,171,92,23,-5,72,1:05,9,20,7341,0
804,Over Our Heads,OFF!,4/7/2014,177,97,17,-5,28,1:43,1,23,3442,0
805,Hypnotized,OFF!,4/7/2014,175,97,22,-5,27,2:15,1,23,6316,0
806,It Didn't Matter To Me,OFF!,4/7/2014,146,96,28,-4,31,1:29,1,20,1474,0
807,Exorcised,OFF!,4/7/2014,119,92,25,-4,52,1:25,0,20,9779,0
808,Death Trip On The Party Train,OFF!,4/7/2014,161,94,31,-5,62,1:13,1,19,6202,0
809,I Won't Be A Casualty,OFF!,4/7/2014,175,96,25,-5,34,1:16,0,19,7894,0
810,All I Can Grab,OFF!,4/7/2014,89,97,36,-5,32,1:15,14,18,1010,0
811,Time's Not On Your Side,OFF!,4/7/2014,118,95,26,-5,38,1:38,0,19,1558,0
812,Meet Your God,OFF!,4/7/2014,80,99,33,-5,15,1:40,1,19,8153,0
813,Mr. Useless,OFF!,4/7/2014,171,95,16,-5,37,1:08,1,18,5974,0
814,You Must Be Damned,OFF!,4/7/2014,122,97,37,-5,40,1:50,2,17,8761,0
815,Wasted Years,OFF!,4/7/2014,94,99,40,-5,42,1:18,11,18,7446,0
816,In Your Arms - Bonus Track,OFF!,4/7/2014,172,97,16,-5,24,1:28,2,17,2761,0
817,Now Hear In,Cloud Nothings,4/1/2014,91,96,22,-6,12,3:31,0,31,1304,0
818,Quieter Today,Cloud Nothings,4/1/2014,96,95,20,-5,28,3:04,0,25,3303,0
819,Psychic Trauma,Cloud Nothings,4/1/2014,99,93,29,-6,19,2:53,0,31,6617,0
820,Just See Fear,Cloud Nothings,4/1/2014,94,98,37,-5,11,3:09,5,24,8496,0
821,Giving Into Seeing,Cloud Nothings,4/1/2014,95,100,25,-5,4,3:49,1,23,9983,0
822,No Thoughts,Cloud Nothings,4/1/2014,94,98,25,-5,15,3:05,1,24,2626,0
823,Pattern Walks,Cloud Nothings,4/1/2014,92,98,20,-6,5,7:24,1,25,693,0
824,I'm Not Part of Me,Cloud Nothings,4/1/2014,87,96,39,-5,43,4:35,5,43,941,0
825,"Hudsonville, MI 1956",La Dispute,3/18/2014,147,90,47,-7,55,3:59,16,0,8561,0
826,First Reactions After Falling Through the Ice,La Dispute,3/18/2014,168,91,48,-6,69,2:38,2,0,1113,0
827,Woman (In Mirror),La Dispute,3/18/2014,108,51,73,-15,55,4:24,22,0,5768,0
828,Scenes from Highways 1981-2009,La Dispute,3/18/2014,145,95,47,-6,39,3:50,1,0,48,0
829,For Mayor in Splitsville,La Dispute,3/18/2014,107,60,70,-7,76,3:35,0,0,4941,0
830,35,La Dispute,3/18/2014,125,48,53,-8,19,4:33,11,0,2549,0
831,Stay Happy There,La Dispute,3/18/2014,138,97,34,-6,67,3:27,0,0,5535,0
832,The Child We Lost 1963,La Dispute,3/18/2014,167,57,44,-8,42,4:21,26,0,7916,0
833,Woman (Reading),La Dispute,3/18/2014,115,63,46,-8,59,3:31,10,0,4361,0
834,Extraordinary Dinner Party,La Dispute,3/18/2014,138,89,57,-7,73,3:19,0,0,3995,0
835,Objects in Space,La Dispute,3/18/2014,94,30,73,-16,34,4:09,68,0,9544,0
836,Inside Out,Five Finger Death Punch,12/2/2019,83,99,48,-3,20,3:46,0,69,6500,0
837,The End of All We Know,Bleed From Within,11/29/2019,149,96,31,-5,34,4:12,0,59,671,0
838,Bow Down,I Prevail,3/29/2019,155,96,43,-5,37,4:03,0,71,8805,0
839,Unsainted,Slipknot,5/16/2019,101,94,43,-3,25,4:20,0,41,2942,0
840,Popular Monster,Falling In Reverse,11/20/2019,165,90,46,-4,36,3:41,1,76,9338,0
841,Blinded,As I Lay Dying,9/20/2019,200,97,34,-5,13,3:22,0,62,1744,0
842,Killing Me Slowly,Bad Wolves,8/23/2019,138,89,35,-4,28,3:57,0,66,2133,0
843,Taste of Regret,Of Mice & Men,9/6/2019,105,98,58,-4,39,3:28,0,59,2132,0
844,Straight to Hell,Ozzy Osbourne,11/22/2019,142,76,44,-2,28,3:45,0,68,6752,0
845,Unleashed,Killswitch Engage,6/25/2019,120,98,53,-7,13,4:35,0,53,7751,0
846,FAKERS PLAGUE,While She Sleeps,12/6/2019,119,88,42,-5,12,5:54,2,59,995,0
847,DEUTSCHLAND,Rammstein,3/28/2019,120,90,52,-5,24,5:22,0,73,8650,0
848,The Vengeance,Black Veil Brides,11/29/2019,146,94,38,-6,36,3:29,0,61,4543,0
849,All Pride No Pain,Upon A Burning Body,5/31/2019,108,93,59,-6,16,3:27,0,56,5285,0
850,Another Life,Motionless In White,6/7/2019,162,94,39,-4,50,3:25,0,64,6308,0
851,Resentment,A Day To Remember,11/22/2019,123,95,51,-3,17,3:47,0,72,1610,0
852,You'll Never Find Me,Korn,6/26/2019,107,90,58,-5,18,3:41,0,36,5578,0
853,Gasoline,I Prevail,3/29/2019,135,95,55,-4,55,2:34,0,69,7590,0
854,Masochist,Polaris,11/7/2019,120,93,50,-3,32,4:00,0,51,7344,0
855,Time Bomb,Hollywood Undead,11/15/2019,150,97,32,-4,59,3:37,0,65,6151,0
856,Strength to Draw the Line,Jasta,11/6/2019,185,99,35,-3,15,2:48,0,54,8750,0
857,Under the Graveyard,Ozzy Osbourne,11/8/2019,140,88,50,-2,15,4:58,0,71,1103,0
858,The Hunted (feat. Sully Erna),Saint Asonia,7/24/2019,200,95,32,-5,26,3:43,0,61,7452,0
859,Death Portrait,Lorna Shore,11/8/2019,125,84,41,-5,19,5:09,0,51,5359,0
860,The Grey (VIXI),Bury Tomorrow,11/29/2019,160,97,42,-4,55,3:59,0,57,3532,0
